               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.032365,            0.017837,            0.002831,             0.81588,             0.83107,             0.84669,             0.49674,            0.030875,            0.019574,           0.0022298,            0.070025,           0.0033306,           0.0033306
                   1,            0.034729,            0.018144,           0.0033316,             0.78933,             0.81178,              0.8224,             0.46461,            0.032265,            0.020288,            0.003326,            0.039893,            0.006532,            0.006532
                   2,             0.03724,            0.019672,            0.004761,             0.65955,             0.64187,             0.61477,             0.31061,            0.038452,            0.027073,           0.0080701,           0.0096289,           0.0096014,           0.0096014
                   3,            0.038983,             0.02104,           0.0065797,             0.70256,             0.75494,             0.73066,             0.38467,            0.035426,            0.022833,           0.0047111,            0.009406,            0.009406,            0.009406
                   4,            0.038737,            0.020751,           0.0060925,             0.72554,             0.76609,             0.74772,             0.40361,            0.034658,            0.022135,           0.0040786,            0.009406,            0.009406,            0.009406
                   5,             0.03848,            0.020647,            0.006079,             0.72174,              0.7859,             0.75805,             0.41107,            0.034055,            0.021919,           0.0038827,            0.009208,            0.009208,            0.009208
                   6,            0.038568,             0.02076,           0.0060984,             0.75041,             0.78195,             0.77601,             0.43049,            0.033536,            0.021541,           0.0038626,             0.00901,             0.00901,             0.00901
                   7,             0.03807,            0.020673,           0.0059954,             0.75923,             0.78254,              0.7842,             0.43975,             0.03284,            0.021176,           0.0035669,            0.008812,            0.008812,            0.008812
                   8,             0.03788,            0.020367,           0.0057783,             0.76366,             0.78864,              0.7859,             0.44405,            0.032523,            0.021038,           0.0034445,            0.008614,            0.008614,            0.008614
                   9,            0.037779,            0.020544,           0.0057704,             0.74899,             0.79466,              0.7842,             0.44688,             0.03229,            0.020915,           0.0033736,            0.008416,            0.008416,            0.008416
                  10,            0.037595,            0.020268,           0.0054942,             0.76467,             0.79931,             0.79522,             0.45461,            0.032109,            0.021015,           0.0032055,            0.008218,            0.008218,            0.008218
                  11,            0.037331,            0.020305,           0.0055139,             0.77063,             0.80327,              0.8038,             0.45939,            0.031777,            0.020627,           0.0031672,             0.00802,             0.00802,             0.00802
                  12,            0.037339,             0.02016,           0.0054999,             0.77555,             0.80137,             0.80988,              0.4708,            0.031622,            0.020594,           0.0030296,            0.007822,            0.007822,            0.007822
                  13,            0.037049,            0.020295,            0.005304,             0.77753,             0.80934,             0.81383,             0.47346,             0.03135,            0.020427,           0.0029069,            0.007624,            0.007624,            0.007624
                  14,            0.037222,            0.020271,            0.005575,             0.77803,             0.80941,             0.81615,             0.47644,            0.031113,            0.020471,            0.002866,            0.007426,            0.007426,            0.007426
                  15,            0.037054,            0.020181,           0.0054049,             0.77772,             0.81507,             0.81718,             0.47834,            0.031015,            0.020378,           0.0028325,            0.007228,            0.007228,            0.007228
                  16,            0.036854,            0.019993,            0.005184,             0.78328,             0.81855,             0.82148,             0.48386,            0.030816,            0.020259,           0.0027411,             0.00703,             0.00703,             0.00703
                  17,            0.036841,            0.020157,           0.0051652,             0.79158,             0.81678,              0.8258,             0.48753,            0.030677,            0.020192,           0.0026946,            0.006832,            0.006832,            0.006832
                  18,            0.036673,            0.019921,           0.0051402,             0.78733,             0.82559,             0.82575,             0.48793,            0.030591,            0.020161,           0.0026495,            0.006634,            0.006634,            0.006634
                  19,            0.036396,            0.019918,           0.0051138,             0.79076,              0.8233,             0.82894,             0.49257,            0.030452,            0.020052,           0.0025988,            0.006436,            0.006436,            0.006436
                  20,            0.036417,            0.019777,           0.0049982,             0.79201,             0.82842,             0.83098,              0.4952,            0.030345,            0.020025,           0.0025757,            0.006238,            0.006238,            0.006238
                  21,            0.036321,            0.019842,            0.004901,             0.79177,             0.83018,             0.83281,             0.49716,            0.030234,            0.019966,           0.0025458,             0.00604,             0.00604,             0.00604
                  22,            0.036191,            0.019621,           0.0048867,             0.79519,             0.82812,             0.83437,             0.49839,             0.03015,            0.019913,           0.0025158,            0.005842,            0.005842,            0.005842
                  23,             0.03593,            0.019696,           0.0049366,             0.79483,             0.83136,             0.83526,             0.50007,            0.030098,            0.019902,           0.0024921,            0.005644,            0.005644,            0.005644
                  24,            0.036101,            0.019739,            0.005005,             0.79665,             0.83061,             0.83628,             0.50111,            0.030034,            0.019865,           0.0024653,            0.005446,            0.005446,            0.005446
                  25,            0.035975,            0.019516,           0.0047528,             0.80096,             0.82747,             0.83738,             0.50172,            0.029974,            0.019835,           0.0024436,            0.005248,            0.005248,            0.005248
                  26,            0.035613,            0.019482,            0.004671,              0.8031,             0.82903,              0.8385,             0.50336,            0.029921,             0.01981,           0.0024235,             0.00505,             0.00505,             0.00505
                  27,             0.03567,            0.019537,           0.0046768,             0.80366,             0.83006,             0.83926,             0.50473,             0.02988,            0.019788,           0.0024027,            0.004852,            0.004852,            0.004852
                  28,            0.035268,            0.019378,           0.0043437,             0.80484,             0.82898,             0.83997,             0.50596,            0.029829,            0.019761,           0.0023833,            0.004654,            0.004654,            0.004654
                  29,            0.035017,             0.01919,           0.0043441,             0.80656,             0.82962,              0.8409,             0.50696,            0.029782,            0.019731,           0.0023635,            0.004456,            0.004456,            0.004456
                  30,            0.034965,            0.019084,           0.0041697,               0.808,              0.8286,             0.84173,             0.50765,            0.029739,              0.0197,           0.0023454,            0.004258,            0.004258,            0.004258
                  31,            0.034781,            0.019005,           0.0041634,             0.80677,             0.82985,             0.84268,             0.50904,            0.029698,            0.019673,           0.0023264,             0.00406,             0.00406,             0.00406
                  32,            0.034949,            0.019163,           0.0042232,             0.80952,             0.82873,              0.8434,             0.50995,            0.029658,            0.019644,           0.0023096,            0.003862,            0.003862,            0.003862
                  33,            0.034625,            0.019162,           0.0042491,             0.81137,             0.82916,             0.84454,             0.51097,            0.029618,            0.019615,           0.0022944,            0.003664,            0.003664,            0.003664
                  34,            0.034443,            0.018898,           0.0041464,             0.81366,              0.8304,             0.84566,             0.51205,            0.029579,            0.019587,           0.0022785,            0.003466,            0.003466,            0.003466
                  35,            0.034369,            0.018972,           0.0040702,             0.81456,             0.83241,              0.8468,             0.51334,            0.029539,            0.019558,           0.0022626,            0.003268,            0.003268,            0.003268
                  36,            0.034123,            0.018781,           0.0039103,             0.81687,             0.83258,             0.84783,             0.51445,            0.029496,            0.019524,            0.002247,             0.00307,             0.00307,             0.00307
                  37,            0.033862,            0.018797,           0.0038632,             0.81702,             0.83361,             0.84876,             0.51566,            0.029455,            0.019492,           0.0022306,            0.002872,            0.002872,            0.002872
                  38,            0.033806,            0.018663,           0.0038886,             0.81848,             0.83389,             0.84974,              0.5169,            0.029416,            0.019459,           0.0022146,            0.002674,            0.002674,            0.002674
                  39,            0.033388,            0.018497,           0.0034219,             0.81829,             0.83542,             0.85078,             0.51794,            0.029375,            0.019423,           0.0021976,            0.002476,            0.002476,            0.002476
                  40,            0.032986,            0.018247,           0.0033955,             0.81834,              0.8379,             0.85182,             0.51909,            0.029327,            0.019382,           0.0021806,            0.002278,            0.002278,            0.002278
                  41,            0.032104,             0.01784,           0.0028004,             0.81986,             0.83905,             0.85289,             0.52038,            0.029282,             0.01934,           0.0021632,             0.00208,             0.00208,             0.00208
                  42,            0.031755,            0.017614,           0.0027783,             0.82144,             0.83951,             0.85402,             0.52152,            0.029235,            0.019297,           0.0021451,            0.001882,            0.001882,            0.001882
                  43,            0.032675,            0.018088,           0.0032524,             0.82343,             0.84058,             0.85522,             0.52285,             0.02919,            0.019254,           0.0021277,            0.001684,            0.001684,            0.001684
                  44,            0.032392,             0.01799,           0.0031916,             0.82367,             0.84276,             0.85647,             0.52449,            0.029148,            0.019215,             0.00211,            0.001486,            0.001486,            0.001486
                  45,            0.032434,            0.018039,           0.0031454,             0.82463,             0.84344,             0.85748,             0.52554,            0.029105,            0.019177,           0.0020913,            0.001288,            0.001288,            0.001288
                  46,            0.032053,             0.01802,           0.0031359,             0.82662,             0.84365,             0.85848,             0.52696,            0.029061,            0.019134,           0.0020739,             0.00109,             0.00109,             0.00109
                  47,            0.031733,            0.017718,           0.0030216,              0.8275,             0.84385,             0.85954,             0.52821,            0.029016,            0.019092,           0.0020548,            0.000892,            0.000892,            0.000892
                  48,            0.031522,            0.017748,           0.0029723,             0.82994,             0.84437,             0.86052,             0.52953,            0.028973,            0.019049,           0.0020354,            0.000694,            0.000694,            0.000694
                  49,            0.031276,            0.017575,           0.0028158,             0.82993,             0.84674,             0.86159,             0.53064,            0.028929,            0.019007,           0.0020147,            0.000496,            0.000496,            0.000496
